date,var1,var2
02/1976,0.130222135,-1.140194329
03/1976,1.580590611,3.068899809
04/1976,0.944881594,-1.099542668
05/1976,0.338098867,-1.436442346
06/1976,0.534252153,4.09263326
07/1976,-0.202123621,-0.80552359
08/1976,-0.416917714,-0.512374323
09/1976,-0.642978293,2.264114275
10/1976,0.06385394,-2.223489168
11/1976,0.100384496,-0.777453839
12/1976,-0.522917401,5.249755142
01/1977,-0.079568518,-5.053042993
02/1977,0.175647355,-2.166029599
03/1977,-0.222861922,-1.402524544
04/1977,-0.475657113,0.020321073
05/1977,-0.191029787,-2.356765542
06/1977,-0.13509534,4.535996671
07/1977,-1.73227082,-1.622213376
08/1977,0.679334571,-2.10419828
09/1977,0.509519399,-0.248010747
10/1977,-1.560693112,-4.340619497
11/1977,-1.387021155,2.696556205
12/1977,-2.343121966,0.284720025
01/1978,-1.66712653,-6.151419558
02/1978,-0.551428662,-2.476190476
03/1978,-1.445693162,2.493106618
04/1978,-0.248073922,8.541643314
05/1978,1.843347428,0.423422493
06/1978,-1.633340729,-1.758535582
07/1978,-2.425636643,5.390976657
08/1978,-2.64816427,2.592371871
09/1978,-0.531005725,-0.72611095
10/1978,-3.840051877,-9.157401989
11/1978,3.241209924,1.663982823
12/1978,-0.370757944,1.488912355
01/1979,-0.861681735,3.974612423
02/1979,0.535317183,-3.65255679
03/1979,0.165451591,5.421686747
04/1979,1.237105975,0.246305419
05/1979,0.919462928,-2.624078624
06/1979,-0.809269279,3.865563181
07/1979,-2.954497133,0.874550578
08/1979,0.357162767,5.307773818
09/1979,-0.579788527,0
10/1979,1.091213588,-6.860592755
11/1979,0.50757765,4.262423885
12/1979,-2.048695719,1.676714393
01/1980,-0.933575546,6.651843617
02/1980,1.001147511,-1.268241835
03/1980,4.542166503,-10.17948267
04/1980,0.756221421,4.114017044
05/1980,-4.410109858,4.657070279
06/1980,-1.928436502,2.696871629
07/1980,-0.744603584,6.503851541
08/1980,1.699681303,0.583545656
09/1980,-0.691367863,2.516751103
10/1980,1.294491668,1.602104256
11/1980,3.126103692,10.23770299
12/1980,1.88335424,-3.387418161
01/1981,0.459818187,-4.574248674
02/1981,5.056032469,1.327672713
03/1981,0.20735858,3.603260456
04/1981,2.679482331,-2.301470588
05/1981,4.855538127,-0.210732295
06/1981,3.143866648,-1.040802474
07/1981,2.818102882,-0.221019739
08/1981,2.208614577,-6.209899175
09/1981,-3.816848919,-5.383174526
10/1981,-1.54156766,4.914787399
